id,question,targets,output_type
004_tg_norba_24.txt,Quando è stato lanciato il TG Norba 24?,"['2010-10-25', 'venticinque ottobre duemiladieci', '25 ottobre 2010', '25/10/2010']",una data
0499_regno_ditalia_1861-1946.txt,"In che anno si tenne in Italia il referendum istituzionale del 2 e 3 giugno, che sancì la nascita della Repubblica Italiana?","['1946', 'millenovecentoquarantasei', 'mille novecento quarantasei']",una data
0821_gué_pequeno.txt,In quale anno è uscito il singolo di Gué Pequeno Non lo spegnere (Reloaded)?,"['2011', 'duemilaundici', 'duemila e undici']",una data
1036_strage_di_capaci.txt,In quale data morì l'agente di scorta Antonio Montinaro?,"['23-05-1992', '1992-05-23', '23 maggio 1992', '23/05/1992', '05/23/1992']",una data
1628_alessandra_amoroso.txt,In che data Alessandra Amoroso partecipa alla Notte della Taranta a Melpignano nel 2009?,"['22', 'ventidue giugno duemilanove', '6', 'ventidue giugno 2009', '09', '06', '2009', '22 giugno duemilanove', '22/06/2009', '22 giugno 2009']",una data
2251_elio_germano.txt,In che anno Elio Germano fonda il gruppo 'Bestierare'?,"['millenovecentonovantasette', '1997', 'mille novecento novantasette']",una data
236_don_matteo.txt,Quando è stata trasmessa la prima puntata di Don Matteo?,"['7 gennaio 2000', '7/1/2000', '07/01/2000', '2000-01-07', 'sette gennaio duemila']",una data
011_iris_rete_televisiva.txt,"Quanti anni sono trascorsi dall'uscita del quiz ""Parole crociate"" condotto da Daniele Bossari nel 2011 a quando il canale Iris è diventato disponibile sulla piattaforma Sky Italia il 2 gennaio 2019?","['8', 'otto', '8 anni', 'otto anni']",un periodo di tempo
047_matteo_salvini.txt,"Considerando i mandati tra il 1990 e il 2020, per quanti anni in totale Matteo Salvini è stato consigliere comunale di Milano?","['diciannove', '19', 'diciannove anni', '19 anni']",un periodo di tempo
085_mario_balotelli.txt,"Quanti anni dopo l'esordio di Mario Balotelli nella nazionale italiana, egli fu inserito per la prima volta nella classifica del Pallone d'oro FIFA?","['2', '2 anni', 'due anni', 'due']",un periodo di tempo
128_ezio_bosso.txt,Quanti anni trascorsero fra l'avvicinamento alla musica di Ezio Bosso e il suo esordio come solista?,"['12', 'dodici anni', '12 anni', 'dodici']",un periodo di tempo
132_società_sportiva_calcio_napoli.txt,Quanti anni sono passati tra la prima vittoria del Napoli nella Supercoppa Italiana e la sua seconda?,"['ventiquattro anni', '24', '24 anni', 'ventiquattro']",un periodo di tempo
190_premium_cinema.txt,Per quanti anni è attivo il canale Premium Cinema Energy su Mediaset Premium prima della fusione con il canale Premium Cinema?,"['undici', 'undici anni', '11 anni', '11']",un periodo di tempo
215_michelle_hunziker.txt,Dopo quanti anni dal suo debutto sulla tv italiana ha iniziato Michelle Hunziker a prendere parte ai programmi della Mediaset?,"['3 anni', 'tre', 'tre anni', '3']",un periodo di tempo
233_alessandro_manzoni.txt,Quanti anni visse Alessandro Manzoni?,"['88 anni', 'ottantotto anni', 'ottantotto', '88']",un periodo di tempo
237_manuel_agnelli.txt,Quanti anni sono passati tra la pubblicazione del primo libro di Manuel Agnelli e la terza edizione del Tora! Tora! Festival?,"['quattro anni', '4', 'quattro', '4 anni']",un periodo di tempo
014_canale_5.txt,In che anno Antonio Melchiorre diede le dimissioni da amministratore unico di Canale 5 Music S.r.l.?,"['millenovecentoottanta', '1980', 'millenovecentottanta']",un anno
231_presidente_della_repubblica_italiana.txt,In che anno è finito naturalmente il primo mandato da Presidente della Repubblica di Sergio Mattarella?,"['2022', 'duemila e ventidue', 'duemilaventidue']",un anno
